,empo_1,empo_2,empo_3
training_5871,Host-associated,Animal,Animal distal gut
training_5872,Free-living,Non-saline,Surface (non-saline)
training_5873,Host-associated,Animal,Animal distal gut
training_5874,Free-living,Non-saline,Water (non-saline)
training_5875,Free-living,Non-saline,Water (non-saline)
training_5876,Free-living,Non-saline,Surface (non-saline)
training_5877,Free-living,Non-saline,Water (non-saline)
training_5878,Host-associated,Plant,Plant surface
training_5879,Host-associated,Animal,Animal distal gut
training_5880,Host-associated,Animal,Animal distal gut
training_5881,Free-living,Non-saline,Soil (non-saline)
training_5882,Host-associated,Animal,Animal corpus
training_5883,Host-associated,Animal,Animal surface
training_5884,Free-living,Non-saline,Water (non-saline)
training_5885,Host-associated,Animal,Animal surface
training_5886,Host-associated,Plant,Plant corpus
training_5887,Host-associated,Plant,Plant surface
training_5888,Host-associated,Animal,Animal distal gut
training_5889,Free-living,Non-saline,Water (non-saline)
training_5890,Host-associated,Animal,Animal surface
training_5891,Free-living,Non-saline,Water (non-saline)
training_5892,Free-living,Saline,Water (saline)
training_5893,Host-associated,Plant,Plant rhizosphere
training_5894,Host-associated,Animal,Animal distal gut
training_5895,Host-associated,Animal,Animal distal gut
training_5896,Free-living,Non-saline,Soil (non-saline)
training_5897,Host-associated,Plant,Plant surface
training_5898,Host-associated,Animal,Animal secretion
training_5899,Host-associated,Animal,Animal surface
training_5900,Free-living,Non-saline,Water (non-saline)
training_5901,Host-associated,Animal,Animal distal gut
training_5902,Free-living,Non-saline,Water (non-saline)
training_5903,Free-living,Non-saline,Water (non-saline)
training_5904,Free-living,Non-saline,Surface (non-saline)
training_5905,Free-living,Non-saline,Water (non-saline)
training_5906,Free-living,Non-saline,Soil (non-saline)
training_5907,Host-associated,Animal,Animal secretion
training_5908,Host-associated,Animal,Animal secretion
training_5909,Host-associated,Animal,Animal distal gut
training_5910,Free-living,Non-saline,Water (non-saline)
training_5911,Free-living,Non-saline,Soil (non-saline)
training_5912,Host-associated,Animal,Animal distal gut
training_5913,Host-associated,Plant,Plant rhizosphere
training_5914,Free-living,Non-saline,Water (non-saline)
training_5915,Host-associated,Animal,Animal secretion
training_5916,Free-living,Non-saline,Water (non-saline)
training_5917,Host-associated,Animal,Animal distal gut
training_5918,Free-living,Saline,Water (saline)
training_5919,Free-living,Non-saline,Water (non-saline)
training_5920,Host-associated,Plant,Plant surface
training_5921,Host-associated,Animal,Animal surface
training_5922,Free-living,Saline,Water (saline)
training_5923,Host-associated,Plant,Plant rhizosphere
training_5924,Host-associated,Animal,Animal secretion
training_5925,Free-living,Non-saline,Water (non-saline)
training_5926,Free-living,Saline,Sediment (saline)
training_5927,Free-living,Non-saline,Soil (non-saline)
training_5928,Free-living,Non-saline,Soil (non-saline)
training_5929,Free-living,Non-saline,Soil (non-saline)
training_5930,Free-living,Non-saline,Surface (non-saline)
training_5931,Host-associated,Plant,Plant rhizosphere
training_5932,Host-associated,Animal,Animal distal gut
training_5933,Host-associated,Animal,Animal surface
training_5934,Host-associated,Plant,Plant rhizosphere
training_5935,Host-associated,Animal,Animal secretion
training_5936,Free-living,Non-saline,Soil (non-saline)
training_5937,Free-living,Non-saline,Soil (non-saline)
training_5938,Free-living,Non-saline,Water (non-saline)
training_5939,Free-living,Non-saline,Soil (non-saline)
training_5940,Host-associated,Animal,Animal distal gut
training_5941,Free-living,Non-saline,Soil (non-saline)
training_5942,Host-associated,Animal,Animal distal gut
training_5943,Free-living,Non-saline,Water (non-saline)
training_5944,Free-living,Non-saline,Soil (non-saline)
training_5945,Host-associated,Animal,Animal distal gut
training_5946,Host-associated,Animal,Animal distal gut
training_5947,Free-living,Non-saline,Soil (non-saline)
training_5948,Free-living,Saline,Sediment (saline)
training_5949,Host-associated,Plant,Plant surface
training_5950,Host-associated,Animal,Animal distal gut
training_5951,Free-living,Non-saline,Soil (non-saline)
training_5952,Free-living,Non-saline,Sediment (non-saline)
training_5953,Free-living,Non-saline,Sediment (non-saline)
training_5954,Host-associated,Animal,Animal distal gut
training_5955,Free-living,Non-saline,Surface (non-saline)
training_5956,Host-associated,Animal,Animal secretion
training_5957,Free-living,Saline,Water (saline)
training_5958,Free-living,Saline,Water (saline)
training_5959,Host-associated,Animal,Animal distal gut
training_5960,Host-associated,Animal,Animal surface
training_5961,Host-associated,Animal,Animal distal gut
training_5962,Host-associated,Animal,Animal surface
training_5963,Free-living,Non-saline,Water (non-saline)
training_5964,Host-associated,Plant,Plant surface
training_5965,Free-living,Non-saline,Soil (non-saline)
training_5966,Free-living,Non-saline,Soil (non-saline)
training_5967,Host-associated,Animal,Animal distal gut
training_5968,Host-associated,Plant,Plant rhizosphere
training_5969,Host-associated,Animal,Animal surface
training_5970,Host-associated,Animal,Animal surface
training_5971,Host-associated,Animal,Animal distal gut
training_5972,Host-associated,Animal,Animal distal gut
training_5973,Free-living,Non-saline,Water (non-saline)
training_5974,Host-associated,Animal,Animal surface
training_5975,Free-living,Non-saline,Water (non-saline)
training_5976,Free-living,Non-saline,Soil (non-saline)
training_5977,Free-living,Non-saline,Water (non-saline)
training_5978,Free-living,Non-saline,Water (non-saline)
training_5979,Free-living,Non-saline,Water (non-saline)
training_5980,Free-living,Saline,Surface (saline)
training_5981,Free-living,Non-saline,Soil (non-saline)
training_5982,Host-associated,Animal,Animal distal gut
training_5983,Host-associated,Animal,Animal distal gut
training_5984,Free-living,Non-saline,Water (non-saline)
training_5985,Host-associated,Plant,Plant rhizosphere
training_5986,Host-associated,Animal,Animal surface
training_5987,Free-living,Non-saline,Surface (non-saline)
training_5988,Free-living,Non-saline,Soil (non-saline)
training_5989,Free-living,Non-saline,Water (non-saline)
training_5990,Free-living,Non-saline,Soil (non-saline)
training_5991,Host-associated,Plant,Plant surface
training_5992,Free-living,Non-saline,Surface (non-saline)
training_5993,Host-associated,Animal,Animal distal gut
training_5994,Host-associated,Animal,Animal surface
training_5995,Free-living,Non-saline,Soil (non-saline)
training_5996,Free-living,Non-saline,Soil (non-saline)
training_5997,Free-living,Non-saline,Water (non-saline)
training_5998,Free-living,Non-saline,Water (non-saline)
training_5999,Free-living,Non-saline,Surface (non-saline)
training_6000,Free-living,Non-saline,Water (non-saline)
training_6001,Host-associated,Animal,Animal secretion
training_6002,Free-living,Saline,Water (saline)
training_6003,Host-associated,Plant,Plant surface
training_6004,Free-living,Non-saline,Soil (non-saline)
training_6005,Host-associated,Animal,Animal surface
training_6006,Host-associated,Animal,Animal distal gut
training_6007,Free-living,Non-saline,Sediment (non-saline)
training_6008,Free-living,Non-saline,Water (non-saline)
training_6009,Free-living,Non-saline,Surface (non-saline)
training_6010,Free-living,Non-saline,Surface (non-saline)
training_6011,Host-associated,Plant,Plant surface
training_6012,Host-associated,Animal,Animal distal gut
training_6013,Host-associated,Plant,Plant surface
training_6014,Free-living,Non-saline,Soil (non-saline)
training_6015,Host-associated,Animal,Animal surface
training_6016,Free-living,Non-saline,Water (non-saline)
training_6017,Free-living,Non-saline,Water (non-saline)
training_6018,Host-associated,Animal,Animal distal gut
training_6019,Host-associated,Animal,Animal distal gut
training_6020,Host-associated,Plant,Plant surface
training_6021,Host-associated,Plant,Plant surface
training_6022,Free-living,Non-saline,Sediment (non-saline)
training_6023,Free-living,Non-saline,Soil (non-saline)
training_6024,Host-associated,Animal,Animal surface
training_6025,Free-living,Non-saline,Surface (non-saline)
training_6026,Free-living,Non-saline,Water (non-saline)
training_6027,Free-living,Non-saline,Water (non-saline)
training_6028,Host-associated,Animal,Animal distal gut
training_6029,Host-associated,Animal,Animal distal gut
training_6030,Free-living,Non-saline,Soil (non-saline)
training_6031,Free-living,Non-saline,Soil (non-saline)
training_6032,Free-living,Non-saline,Water (non-saline)
training_6033,Free-living,Non-saline,Soil (non-saline)
training_6034,Host-associated,Animal,Animal distal gut
training_6035,Free-living,Non-saline,Sediment (non-saline)
training_6036,Host-associated,Animal,Animal surface
training_6037,Free-living,Non-saline,Water (non-saline)
training_6038,Free-living,Non-saline,Soil (non-saline)
training_6039,Host-associated,Animal,Animal corpus
training_6040,Free-living,Non-saline,Soil (non-saline)
training_6041,Free-living,Non-saline,Water (non-saline)
training_6042,Free-living,Non-saline,Surface (non-saline)
training_6043,Host-associated,Animal,Animal surface
training_6044,Free-living,Non-saline,Soil (non-saline)
training_6045,Host-associated,Animal,Animal surface
training_6046,Host-associated,Plant,Plant surface
training_6047,Free-living,Non-saline,Soil (non-saline)
training_6048,Host-associated,Plant,Plant rhizosphere
training_6049,Free-living,Saline,Sediment (saline)
training_6050,Free-living,Non-saline,Surface (non-saline)
training_6051,Free-living,Non-saline,Soil (non-saline)
training_6052,Host-associated,Animal,Animal surface
training_6053,Host-associated,Animal,Animal distal gut
training_6054,Free-living,Saline,Sediment (saline)
training_6055,Free-living,Non-saline,Soil (non-saline)
training_6056,Free-living,Non-saline,Soil (non-saline)
training_6057,Host-associated,Plant,Plant rhizosphere
training_6058,Free-living,Non-saline,Soil (non-saline)
training_6059,Host-associated,Animal,Animal surface
training_6060,Free-living,Non-saline,Water (non-saline)
training_6061,Free-living,Non-saline,Water (non-saline)
training_6062,Host-associated,Animal,Animal surface
training_6063,Host-associated,Animal,Animal surface
training_6064,Host-associated,Animal,Animal distal gut
training_6065,Free-living,Saline,Sediment (saline)
training_6066,Host-associated,Animal,Animal distal gut
training_6067,Free-living,Non-saline,Soil (non-saline)
training_6068,Host-associated,Animal,Animal distal gut
training_6069,Free-living,Non-saline,Soil (non-saline)
training_6070,Host-associated,Animal,Animal distal gut
training_6071,Free-living,Non-saline,Surface (non-saline)
training_6072,Free-living,Non-saline,Water (non-saline)
training_6073,Free-living,Non-saline,Soil (non-saline)
training_6074,Free-living,Saline,Sediment (saline)
training_6075,Free-living,Non-saline,Soil (non-saline)
training_6076,Host-associated,Animal,Animal distal gut
training_6077,Host-associated,Animal,Animal surface
training_6078,Free-living,Non-saline,Water (non-saline)
training_6079,Free-living,Non-saline,Water (non-saline)
training_6080,Host-associated,Plant,Plant corpus
training_6081,Free-living,Non-saline,Water (non-saline)
training_6082,Host-associated,Plant,Plant surface
training_6083,Free-living,Non-saline,Soil (non-saline)
training_6084,Free-living,Non-saline,Sediment (non-saline)
training_6085,Host-associated,Animal,Animal secretion
training_6086,Free-living,Non-saline,Water (non-saline)
training_6087,Free-living,Non-saline,Soil (non-saline)
training_6088,Host-associated,Animal,Animal distal gut
training_6089,Free-living,Non-saline,Surface (non-saline)
training_6090,Host-associated,Plant,Plant surface
training_6091,Host-associated,Animal,Animal secretion
training_6092,Host-associated,Animal,Animal distal gut
training_6093,Host-associated,Animal,Animal surface
training_6094,Host-associated,Animal,Animal distal gut
training_6095,Free-living,Non-saline,Water (non-saline)
training_6096,Free-living,Non-saline,Soil (non-saline)
training_6097,Host-associated,Plant,Plant surface
training_6098,Free-living,Non-saline,Water (non-saline)
training_6099,Host-associated,Animal,Animal distal gut
training_6100,Free-living,Non-saline,Water (non-saline)
training_6101,Free-living,Non-saline,Soil (non-saline)
training_6102,Host-associated,Animal,Animal surface
training_6103,Free-living,Non-saline,Soil (non-saline)
training_6104,Free-living,Non-saline,Water (non-saline)
training_6105,Free-living,Non-saline,Soil (non-saline)
training_6106,Host-associated,Animal,Animal surface
training_6107,Free-living,Non-saline,Water (non-saline)
training_6108,Host-associated,Animal,Animal surface
training_6109,Free-living,Non-saline,Soil (non-saline)
training_6110,Host-associated,Animal,Animal surface
training_6111,Free-living,Non-saline,Soil (non-saline)
training_6112,Free-living,Non-saline,Surface (non-saline)
